#TRACE	
#LENGTH	TRACE	PREFIX	BLOCK	KL

1	4.7	4.7	4.7	4.489
2	9.401	8.051	7.186	7.092
3	14.097	10.984	9.292	9.943
4	16.455	13.134	11.001	11.29
5	16.604	14.537	12.436	11.411
6	16.609	15.531	13.643	11.667
7	16.61	16.277	14.663	11.871
8	16.61	16.862	15.539	11.975
9	16.61	17.337	16.299	12.034
10	16.61	17.733	16.966	12.089
11	16.61	18.071	17.559	12.148
12	16.61	18.363	18.09	12.194
13	16.61	18.619	18.569	12.222
14	16.61	18.847	19.004	12.244
15	16.61	19.051	19.402	12.266
16	16.61	19.236	19.768	12.291
17	16.61	19.404	20.107	12.313
18	16.61	19.558	20.421	12.328
19	16.61	19.701	20.714	12.339
20	16.61	19.833	20.988	12.351
21	16.61	19.955	21.245	12.364
22	16.61	20.07	21.487	12.376
23	16.61	20.177	21.715	12.387
24	16.61	20.279	21.931	12.395
25	16.61	20.374	22.136	12.402
26	16.61	20.465	22.331	12.409
