# TESTING			 
# REPRESENTATIONAL						kNN	kNN	kNN	kNN	RATE^d	RATE^d	RATE^d	RATE^d	RATE^d	RATE^r	RATE^r	RATE^r	RATE^r	RATE^r	LEMPEL
# BIAS				TRACE	PREFIX	BLOCK	KL	k=1	k=2	k=3	k=4	(22.2)	(22.3)	(22.4)	(22.5)	(22.6)	(22.2)	(22.3)	(22.4)	(22.5)	(22.6)	ZIV

global-noise-1000a.xes		4.858	5.908	6.505	2.93	2.965	2.407	2.058	1.761	2.913	0.723	2.913	2.913	2.913	2.913	1.782	2.913	2.913	2.913	2.512
global-noise-1000b.xes		5.129	6.033	6.608	3.073	3.102	2.419	2.172	1.938	2.894	0.745	2.894	2.894	2.894	2.894	1.796	2.894	2.894	2.894	2.351
global-noise-1000c.xes		4.807	5.875	6.43	2.879	2.915	2.288	2.023	1.75	2.918	0.563	2.918	2.918	2.918	2.918	1.729	2.918	2.918	2.918	2.481
global-noise-1000d.xes		4.907	5.765	6.491	2.949	2.983	2.37	2.085	1.82	2.912	0.675	2.912	2.912	2.912	2.912	1.765	2.912	2.912	2.912	2.48
global-noise-1000e.xes		5.129	6.097	6.673	3.079	3.108	2.426	2.196	1.951	2.886	0.815	2.886	2.886	2.886	2.886	1.82	2.886	2.886	2.886	2.29
little-global-noise-1000a.xes	4.644	5.611	6.385	2.788	2.828	2.206	1.901	1.667	2.911	0.518	2.911	2.911	2.911	2.911	1.696	2.911	2.911	2.911	2.586
little-global-noise-1000b.xes	4.644	5.68	6.387	2.803	2.843	2.322	1.94	1.614	2.925	0.638	2.925	2.925	2.925	2.925	1.748	2.925	2.925	2.925	2.484
little-global-noise-1000c.xes	4.392	5.644	6.347	2.622	2.67	2.136	1.719	1.541	2.915	0.404	2.915	2.915	2.915	2.915	1.661	2.915	2.915	2.915	2.666
little-global-noise-1000d.xes	4.585	5.629	6.312	2.72	2.763	2.148	1.896	1.625	2.91	0.512	2.91	2.91	2.91	2.91	1.681	2.91	2.91	2.91	2.533
little-global-noise-1000e.xes	4.459	5.53	6.214	2.705	2.752	2.319	1.819	1.486	2.937	0.459	2.937	2.937	2.937	2.937	2.258	2.937	2.937	2.937	2.475
