# TESTING			 
# REPRESENTATIONAL						kNN	kNN	kNN	kNN	RATE^d	RATE^d	RATE^d	RATE^d	RATE^d	RATE^r	RATE^r	RATE^r	RATE^r	RATE^r	LEMPEL
# BIAS				TRACE	PREFIX	BLOCK	KL	k=1	k=2	k=3	k=4	(22.2)	(22.3)	(22.4)	(22.5)	(22.6)	(22.2)	(22.3)	(22.4)	(22.5)	(22.6)	ZIV

global-noise-1000a.xes		7.775	8.285	7.494	5.042	5.047	4.48	4.079	3.78	2.225	1.082	2.225	2.225	2.225	2.551	1.912	2.551	2.551	2.551	2.157
global-noise-1000b.xes		7.775	8.298	7.491	5.04	5.045	4.475	4.081	3.778	2.238	1.103	2.238	2.238	2.238	2.548	1.926	2.548	2.548	2.548	2.138
global-noise-1000c.xes		7.651	8.28	7.481	5.02	5.025	4.429	4.019	3.729	2.247	1.104	2.247	2.247	2.247	2.542	1.93	2.542	2.542	2.542	2.211
global-noise-1000d.xes		7.735	8.32	7.533	5.035	5.039	4.469	4.069	3.768	2.251	1.147	2.251	2.251	2.251	2.548	1.592	2.548	2.548	2.548	2.19
global-noise-1000e.xes		7.728	8.308	7.483	5.019	5.024	4.494	4.057	3.756	2.231	1.126	2.231	2.231	2.231	2.545	1.926	2.545	2.545	2.545	2.159
little-global-noise-1000a.xes	7.375	8.028	7.165	4.935	4.941	4.323	3.875	3.572	2.15	1.017	2.15	2.497	2.15	2.497	1.841	2.497	2.497	2.497	2.165
little-global-noise-1000b.xes	7.384	8.026	7.194	4.95	4.956	4.321	3.886	3.577	2.165	1.012	2.165	2.165	2.165	2.5	1.849	2.5	2.5	2.5	2.139
little-global-noise-1000c.xes	7.401	8.026	7.239	4.947	4.953	4.346	3.901	3.589	2.182	1.029	2.182	2.182	2.182	2.507	1.865	2.507	2.507	2.507	2.209
little-global-noise-1000d.xes	7.349	8.037	7.193	4.973	4.98	4.316	3.871	3.562	2.167	1.016	2.167	2.167	2.167	2.499	1.851	2.499	2.499	2.499	2.197
little-global-noise-1000e.xes	7.285	7.966	7.195	4.97	4.976	4.301	3.856	3.535	2.185	0.998	2.185	2.185	2.185	2.496	1.848	2.496	2.496	2.496	2.201
semi-local-noise-1000a.xes	7.768	8.227	7.543	5.054	5.058	4.493	4.083	3.785	2.209	1.185	2.209	2.209	2.209	2.553	1.941	2.553	2.553	2.553	2.211
semi-local-noise-1000b.xes	7.845	8.266	7.542	5.077	5.081	4.502	4.12	3.829	2.206	1.202	2.206	2.206	2.206	2.555	1.943	2.555	2.555	2.555	2.157
semi-local-noise-1000c.xes	7.864	8.279	7.586	5.079	5.083	4.534	4.128	3.837	2.222	1.223	2.222	2.222	2.222	2.558	1.957	2.558	2.558	2.558	2.197
semi-local-noise-1000d.xes	7.768	8.176	7.461	5.014	5.019	4.5	4.081	3.781	2.193	1.162	2.193	2.193	2.193	2.546	1.922	2.546	2.546	2.546	2.125
semi-local-noise-1000e.xes	7.901	8.279	7.624	5.102	5.106	4.537	4.136	3.857	2.228	1.197	2.228	2.228	2.228	2.563	1.623	2.563	2.563	2.563	2.178
local-noise-1000a.xes		7.358	8.038	7.131	4.931	4.937	4.34	3.885	3.57	2.053	1.127	2.053	2.053	2.053	2.498	1.842	2.498	2.498	2.498	2.163
local-noise-1000b.xes		7.366	8.055	7.164	4.963	4.969	4.345	3.88	3.576	2.06	1.116	2.06	2.06	2.06	2.507	1.837	2.507	2.507	2.507	2.165
local-noise-1000c.xes		7.366	8.035	7.151	4.943	4.949	4.345	3.88	3.571	2.056	1.118	2.056	2.056	2.056	2.501	1.843	2.501	2.501	2.501	2.115
local-noise-1000d.xes		7.366	8.038	7.12	4.925	4.931	4.339	3.876	3.568	2.046	1.107	2.046	2.046	2.046	2.498	1.834	2.498	2.498	2.498	2.108
local-noise-1000e.xes		7.34	8.037	7.095	4.933	4.939	4.329	3.87	3.557	2.051	1.085	2.051	2.051	2.051	2.493	1.821	2.493	2.493	2.493	2.146
little-local-noise-1000a.xes	7.2	7.887	6.999	4.959	4.966	4.275	3.797	3.478	2.06	1.045	2.06	2.461	2.06	2.461	1.809	2.461	2.461	2.461	2.136
little-local-noise-1000b.xes	7.15	7.826	6.966	4.976	4.983	4.257	3.775	3.447	2.07	1.052	2.07	2.447	2.07	2.447	1.805	2.447	2.447	2.447	2.158
little-local-noise-1000c.xes	7.209	7.955	6.997	4.958	4.965	4.274	3.806	3.481	2.052	1.061	2.052	2.463	2.052	2.463	1.807	2.463	2.463	2.463	2.122
little-local-noise-1000d.xes	7.209	7.914	7.009	4.952	4.958	4.276	3.811	3.483	2.065	1.05	2.065	2.463	2.065	2.463	1.81	2.463	2.463	2.463	2.134
little-local-noise-1000e.xes	7.17	7.869	7.02	4.989	4.996	4.26	3.792	3.462	2.082	1.066	2.082	2.082	2.082	2.459	1.82	2.459	2.459	2.459	2.124
no-noise-1000a.xes		6.907	7.595	6.639	5.133	5.142	4.142	3.642	3.308	2	1	2	2	2	2.322	1.969	2.322	2.322	2.322	2.138
no-noise-1000b.xes		6.907	7.595	6.639	5.133	5.142	4.142	3.642	3.308	2	1	2	2	2	2.322	1.969	2.322	2.322	2.322	2.153
no-noise-1000c.xes		6.907	7.595	6.639	5.133	5.142	4.142	3.642	3.308	2	1	2	2	2	2.322	1.969	2.322	2.322	2.322	2.107
no-noise-1000d.xes		6.907	7.595	6.639	5.133	5.142	4.142	3.642	3.308	2	1	2	2	2	2.322	1.969	2.322	2.322	2.322	2.107
no-noise-1000e.xes		6.907	7.595	6.639	5.133	5.142	4.142	3.642	3.308	2	1	2	2	2	2.322	1.969	2.322	2.322	2.322	2.092
