# TESTING			 
# REPRESENTATIONAL						kNN	kNN	kNN	kNN	RATE^d	RATE^d	RATE^d	RATE^d	RATE^d	RATE^r	RATE^r	RATE^r	RATE^r	RATE^r	LEMPEL
# BIAS				TRACE	PREFIX	BLOCK	KL	k=1	k=2	k=3	k=4	(22.2)	(22.3)	(22.4)	(22.5)	(22.6)	(22.2)	(22.3)	(22.4)	(22.5)	(22.6)	ZIV

global-noise-1000a.xes		3.807	4.396	4.68	2.326	2.4	1.563	1.174	1.083	1.198	0.321	1.198	1.198	1.198	1.966	1.582	1.966	1.966	1.966	1.918
global-noise-1000b.xes		3.907	4.338	4.588	2.468	2.537	1.674	1.359	1.126	1.256	0.463	1.256	1.256	1.256	1.894	1.204	1.894	1.894	1.894	1.97
global-noise-1000c.xes		4.087	4.582	4.865	2.495	2.555	1.717	1.404	1.135	-0.402	0.599	1.22	1.22	1.22	1.948	1.256	1.948	1.948	1.948	1.948
global-noise-1000d.xes		3.907	4.4	4.66	2.468	2.537	1.659	1.375	1.173	1.267	0.53	1.267	1.267	1.267	1.922	1.24	1.922	1.922	1.922	1.97
global-noise-1000e.xes		3.907	4.397	4.678	2.423	2.492	1.552	1.336	1.155	1.244	0.446	1.244	1.244	1.244	1.94	1.21	1.94	1.94	1.94	2.047
little-global-noise-1000a.xes	3.459	4.147	4.427	2.152	2.247	1.314	1.198	0.991	-0.742	0.143	1.16	1.16	1.16	1.961	1.56	1.961	1.961	1.961	2.033
little-global-noise-1000b.xes	3.17	3.76	4.248	1.995	2.113	1.177	1.107	0.838	1.06	0.166	1.06	1.963	1.06	1.963	1.512	1.963	1.963	1.963	1.963
little-global-noise-1000c.xes	3.585	4.272	4.594	2.213	2.3	1.437	1.111	0.968	1.224	0.334	1.224	1.224	1.224	1.964	1.594	1.964	1.964	1.964	2.109
little-global-noise-1000d.xes	3.585	4.292	4.675	2.293	2.38	1.504	1.207	1.066	-0.613	0.351	1.226	1.226	1.226	1.959	1.178	1.959	1.959	1.959	2.075
little-global-noise-1000e.xes	3.17	3.76	4.248	1.995	2.113	1.177	1.107	0.838	1.06	0.166	1.06	1.963	1.06	1.963	1.512	1.963	1.963	1.963	1.963
semi-local-noise-1000a.xes	2.807	3.151	4.087	1.621	1.775	0.921	0.588	0.609	-0.183	0.737	0.737	0.737	0.737	1.968	1.352	1.968	1.968	1.968	2.101
semi-local-noise-1000b.xes	3.322	3.545	4.44	1.998	2.104	1.287	0.867	0.672	-0.47	0.329	0.953	0.953	0.953	1.937	1.445	1.937	1.937	1.937	2.112
semi-local-noise-1000c.xes	2.807	3.318	4.244	1.653	1.807	1.02	0.745	0.667	-0.922	0.055	0.899	0.899	0.899	1.968	1.433	1.968	1.968	1.968	1.91
semi-local-noise-1000d.xes	2.585	3.011	3.93	1.541	1.724	0.82	0.714	0.516	-0.198	0.775	0.775	1.944	0.775	1.944	1.36	1.944	1.944	1.944	2.012
semi-local-noise-1000e.xes	3.17	3.371	4.292	1.896	2.014	1.088	0.705	0.57	-0.841	0.238	0.927	0.927	0.927	1.929	1.428	1.929	1.929	1.929	2.031
local-noise-1000a.xes		2.585	3.178	4.163	1.43	1.612	0.735	0.466	0.278	-0.725	0.706	0.706	0.706	0.706	1.95	1.328	1.95	1.95	1.95	1.882
local-noise-1000b.xes		2	2.752	3.684	1.055	1.342	0.486	0.261	-0.073	-0.5	0.582	0.582	1.918	0.582	1.918	1.25	1.918	1.918	1.918	2.091
