#TRACE	RATE	RATE^d	RATE^r	LEMPEL
#LENGTH	(22.2)	(22.3)	(22.3)	ZIV
#	(22.4-6)

1	SUCCESS	SUCCESS	SUCCESS	4.7
2	4.7	4.7	4.7	5.27
3	4.7	4.7	4.7	5.234
4	4.7	4.645	4.7	4.625
5	4.7	3.152	4.686	3.805
6	4.7	-0.026	4.405	3.386
7	4.7	0.3	3.634	3.149
8	4.7	0.534	3.715	4.247
9	4.7	0.726	3.778	4.367
10	4.7	0.888	3.155	4.099
11	4.7	1.032	3.199	3.848
12	4.7	1.16	2.742	4.252
13	4.7	1.276	2.774	4.457
14	4.7	1.384	2.801	4.406
15	4.7	1.482	2.826	4.234
16	4.7	-0.03	2.472	4.334
17	4.7	-0.013	2.491	4.452
18	4.7	0.004	2.509	4.503
19	4.7	0.018	2.23	4.45
20	4.7	0.033	2.244	4.455
21	4.7	0.047	2.257	4.482
22	4.7	0.059	2.269	4.517
23	4.7	0.071	2.28	4.53
24	4.7	0.082	2.052	4.552
25	4.7	0.094	2.061	4.546
26	4.7	0.105	2.07	4.541
